GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Charts Coverage/random,de.slothsoft.random.types.wordgen,WordGeneratorConfigUtil.ConfigProperties,0,52,0,2,0,10,0,6,0,5
Charts Coverage/random,de.slothsoft.random.types.wordgen,Letter,0,92,0,10,0,19,0,13,0,8
Charts Coverage/random,de.slothsoft.random.types.wordgen,StandardWordGeneratorConfig,0,82,0,2,0,14,0,7,0,6
Charts Coverage/random,de.slothsoft.random.types.wordgen,StandardWordGeneratorConfig.new StandardWordGeneratorConfig() {...},0,9,0,0,0,2,0,2,0,2
Charts Coverage/random,de.slothsoft.random.types.wordgen,WordGeneratorConfigUtil,0,190,0,12,0,33,0,13,0,7
Charts Coverage/random,de.slothsoft.random.types.wordgen,StandardWordGeneratorConfig.new StandardWordGeneratorConfig() {...},0,9,0,0,0,2,0,2,0,2
Charts Coverage/random,de.slothsoft.random.types.wordgen,DefaultWordGeneratorConfig,0,210,0,16,0,38,0,26,0,18
Charts Coverage/random,de.slothsoft.random.types.wordgen,StandardWordGeneratorConfig.new StandardWordGeneratorConfig() {...},0,10,0,0,0,2,0,2,0,2
Charts Coverage/random,de.slothsoft.random.types,PostalCodeRandomField,0,92,0,6,0,24,0,12,0,9
Charts Coverage/random,de.slothsoft.random.types,FloatRandomField,0,29,0,0,0,7,0,5,0,5
Charts Coverage/random,de.slothsoft.random.types,WordsRandomField,0,168,0,20,0,41,0,21,0,11
Charts Coverage/random,de.slothsoft.random.types,ElementFromListRandomField,0,50,0,6,0,13,0,8,0,5
Charts Coverage/random,de.slothsoft.random.types,FirstNameRandomField,0,156,0,10,0,37,0,17,0,12
Charts Coverage/random,de.slothsoft.random.types,WordRandomField,2,191,1,15,1,40,1,18,0,11
Charts Coverage/random,de.slothsoft.random.types,LocalTimeRandomField,0,24,0,0,0,7,0,7,0,7
Charts Coverage/random,de.slothsoft.random.types,LocalDateTimeRandomField,0,33,0,0,0,7,0,7,0,7
Charts Coverage/random,de.slothsoft.random.types,CharacterRandomField,3,196,1,19,1,42,1,22,0,13
Charts Coverage/random,de.slothsoft.random.types,AbstractChronoRandomField,0,145,0,18,0,31,0,23,0,14
Charts Coverage/random,de.slothsoft.random.types,LocalDateRandomField,0,35,0,0,0,7,0,7,0,7
Charts Coverage/random,de.slothsoft.random.types,StreetRandomField,0,112,0,2,0,29,0,16,0,15
Charts Coverage/random,de.slothsoft.random.types,FirstNameRandomField.Gender,0,63,0,0,0,9,0,2,0,2
Charts Coverage/random,de.slothsoft.random.types,CollectionRandomField,0,115,0,16,0,33,0,17,0,9
Charts Coverage/random,de.slothsoft.random.types,LongRandomField,0,33,0,0,0,7,0,5,0,5
Charts Coverage/random,de.slothsoft.random.types,BigIntegerRandomField,0,32,0,0,0,8,0,5,0,5
Charts Coverage/random,de.slothsoft.random.types,BooleanRandomField,0,72,0,12,0,18,0,14,0,8
Charts Coverage/random,de.slothsoft.random.types,PatternRandomField,0,147,0,12,0,38,0,18,0,12
Charts Coverage/random,de.slothsoft.random.types,CityRandomField,0,8,0,0,0,4,0,2,0,2
Charts Coverage/random,de.slothsoft.random.types,ShortRandomField,0,33,0,0,0,7,0,5,0,5
Charts Coverage/random,de.slothsoft.random.types,LastNameRandomField,0,8,0,0,0,4,0,2,0,2
Charts Coverage/random,de.slothsoft.random.types,IntegerRandomField,0,32,0,0,0,7,0,5,0,5
Charts Coverage/random,de.slothsoft.random.types,DateRandomField,0,51,0,0,0,13,0,7,0,7
Charts Coverage/random,de.slothsoft.random.types,ArrayRandomField,0,93,0,8,0,24,0,12,0,8
Charts Coverage/random,de.slothsoft.random.types,AbstractNumberRandomField,0,101,0,14,0,29,0,18,0,11
Charts Coverage/random,de.slothsoft.random.types,BigDecimalRandomField,0,32,0,0,0,8,0,5,0,5
Charts Coverage/random,de.slothsoft.random.types,DoubleRandomField,0,29,0,0,0,7,0,5,0,5
Charts Coverage/random,de.slothsoft.random.types,CalendarRandomField,0,51,0,0,0,15,0,7,0,7
Charts Coverage/random,de.slothsoft.random.types,EnumRandomField,0,6,0,0,0,2,0,1,0,1
Charts Coverage/random,de.slothsoft.random.types,BirthdayRandomField,0,43,0,0,0,11,0,5,0,5
Charts Coverage/random,de.slothsoft.random,RandomField,0,6,0,0,0,2,0,2,0,2
Charts Coverage/random,de.slothsoft.random,PropertyUtil,68,109,1,9,7,19,1,7,0,3
Charts Coverage/random,de.slothsoft.random,RandomFieldSupplier,5,327,0,10,1,59,1,23,1,18
Charts Coverage/random,de.slothsoft.random,RandomFieldSupplier.new RandomFieldSupplier() {...},0,13,0,0,0,2,0,2,0,2
Charts Coverage/random,de.slothsoft.random,RandomException,0,16,0,0,0,8,0,4,0,4
Charts Coverage/random,de.slothsoft.random,RandomFieldSupplier.new RandomFieldSupplier() {...},0,15,0,2,0,2,0,3,0,2
Charts Coverage/random,de.slothsoft.random,RandomFactory,0,205,0,10,0,48,0,19,0,14
Charts Coverage/random,de.slothsoft.random,RandomFieldSupplier.EnumRandomFieldSupplier,0,13,0,0,0,3,0,3,0,3
Charts Coverage/random,de.slothsoft.random,RandomFieldSupplier.ArrayRandomFieldSupplier,0,46,1,3,0,7,1,4,0,3
Charts Coverage/random,de.slothsoft.random,RandomIndustrialArea,19,190,0,14,4,42,0,21,0,14
